year,month,week,severity_score,outbreak_relevance_score,cases_total,deaths,search_volume_avg,search_volume_max,spike_ratio_max,spike_ratio_avg,baseline_avg,entity_count,location_count,org_count,person_count,date_entity_count,numeric_entity_count,has_who_mention,urgency_score,containment_score,net_urgency,risk_keyword_count,response_keyword_count,escalation_language_flag,word_count,sentence_count,avg_sentence_length,has_disease_in_text,has_country_in_text,disease_risk_score,disease_fatality_weight,disease_outbreak_count,is_peak_season,season_risk,country_outbreak_count,disease_country_count,is_endemic_country,case_fatality_ratio,has_deaths,has_cases,log_cases,log_deaths,cases_per_death,has_trend_data,spike_alert,spike_warning,disease_encoded,season_encoded,spike_level_encoded,escalated
2019,5,20,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,1,1,0,1,0,0,1,0,1,0,0,0,9,1,9.0,1,1,0.7,0.6,39,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,12,1,0,0
2019,5,19,2,5,3141,30,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,1,0,0,0,8,2,4.0,1,1,0.45,0.3,18,1,0.3,2,1,0,0.0096,1,1,8.0526,3.434,104.7,0,0,0,7,1,0,1
2019,5,19,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,5.0,1,0,0.45,0.3,18,1,0.3,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,7,1,0,0
2019,5,19,2,4,83540,74,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,1,0,0,0,9,2,4.5,1,1,0.45,0.3,18,1,0.3,2,2,0,0.0009,1,1,11.3331,4.3175,1128.92,0,0,0,7,1,0,1
2019,4,17,2,4,0,827,0.0,0.0,0.0,0.0,0.0,4,2,0,0,1,1,0,2,0,2,0,0,1,17,3,5.7,0,1,0.5,0.4,32,0,0.0,12,6,1,0.0,1,0,0.0,6.719,0.0,0,0,0,4,1,0,1
2019,2,9,0,2,2,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,13,2,6.5,1,1,0.4,0.25,93,0,0.0,21,16,1,0.0,0,1,1.0986,0.0,0.0,0,0,0,11,0,0,0
2019,2,8,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9.0,1,1,0.4,0.25,93,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,11,0,0,0
2019,2,6,1,3,1325,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,7.0,1,1,0.5,0.35,51,0,0.0,1,1,0,0.0,0,1,7.1899,0.0,0.0,0,0,0,2,0,0,1
2019,1,4,0,2,2,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,13,2,6.5,1,1,0.4,0.25,93,0,0.0,16,1,0,0.0,0,1,1.0986,0.0,0.0,0,0,0,11,0,0,0
2019,1,3,2,5,19539,39,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,1,0,0,0,8,2,4.0,1,1,0.45,0.3,18,1,0.3,10,1,0,0.002,1,1,9.8802,3.6889,501.0,0,0,0,7,0,0,1
2019,1,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,0,0,1,0,1,0,0,0,10,1,10.0,1,1,0.4,0.25,93,0,0.0,61,3,1,0.0,0,0,0.0,0.0,0.0,0,0,0,11,0,0,0
2018,12,52,1,3,8188,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1,10.0,1,1,0.35,0.2,10,0,0.0,1,1,0,0.0,0,1,9.0105,0.0,0.0,0,0,0,13,0,0,1
2018,12,51,0,1,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,1,1,0,1,0,1,0,0,0,13,2,6.5,1,1,0.65,0.55,108,0,0.0,1,1,0,0.0,0,1,0.6931,0.0,0.0,0,0,0,14,0,0,0
2018,10,44,0,1,6,0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,2,0,1,0,1,0,0,0,13,2,6.5,1,1,0.4,0.25,93,0,0.0,12,2,0,0.0,0,1,1.9459,0.0,0.0,0,0,0,11,3,0,0
2018,10,40,2,5,3692,68,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,1,0,1,0,0,0,8,2,4.0,1,1,0.6,0.45,249,0,0.0,12,3,1,0.0184,1,1,8.2142,4.2341,54.29,0,0,0,0,3,0,1
2018,9,38,2,4,0,32,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,1,0,2,0,2,0,0,1,8,2,4.0,1,1,0.6,0.45,249,1,0.3,8,8,1,0.0,1,0,0.0,3.4965,0.0,0,0,0,0,3,0,1
2018,9,37,1,5,217,2,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,2,0,1,0,1,0,0,0,8,2,4.0,1,1,0.6,0.45,249,1,0.3,6,1,0,0.0092,1,1,5.3845,1.0986,108.5,0,0,0,0,3,0,1
2018,9,37,0,2,1,0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,1,1,0,1,0,1,0,0,0,17,2,8.5,0,1,0.5,0.4,32,0,0.0,3,2,0,0.0,0,1,0.6931,0.0,0.0,0,0,0,4,3,0,0
2018,9,36,0,2,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,1,0,1,0,0,0,10,1,10.0,1,1,0.65,0.55,108,0,0.0,28,2,0,0.0,0,0,0.0,0.0,0.0,0,0,0,14,3,0,0
2018,8,35,0,2,0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,1,15.0,0,1,0.5,0.4,32,0,0.0,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,4,2,0,0
2018,8,33,0,2,0,0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,-1,0,0,0,18,1,18.0,1,1,0.9,0.9,165,0,0.0,61,17,1,0.0,0,0,0.0,0.0,0.0,0,0,0,3,2,0,0
2018,8,32,0,2,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,1,0,1,0,1,0,0,0,10,1,10.0,1,1,0.4,0.25,93,1,0.3,27,5,1,0.0,0,0,0.0,0.0,0.0,0,0,0,11,2,0,0
2018,7,27,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,1,0,0,0,11,1,11.0,1,0,0.4,0.25,93,1,0.3,1,1,0,0.0,0,0,0.0,0.0,0.0,0,0,0,11,2,0,0
2018,6,25,1,3,161,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,0,0,0,0,6,1,6.0,1,1,0.45,0.3,18,0,0.0,2,1,0,0.0,0,1,5.0876,0.0,0.0,0,0,0,7,2,0,1
2018,6,25,1,4,26,6,0.0,0.0,0.0,0.0,0.0,4,1,1,0,0,2,0,1,0,1,0,0,0,10,2,5.0,1,1,0.7,0.6,39,0,0.0,16,9,1,0.2308,1,1,3.2958,1.9459,4.33,0,0,0,12,2,0,0
2018,6,24,0,2,3,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1,0,0,0,0,0,0,0,6,1,6.0,1,1,0.6,0.45,249,1,0.3,9,4,1,0.0,0,1,1.3863,0.0,0.0,0,0,0,0,2,0,0
2018,6,24,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,1,0,0,1,-1,0,0,0,18,1,18.0,1,1,0.9,0.9,165,0,0.0,61,17,1,0.0,0,0,0.0,0.0,0.0,0,0,0,3,2,0,0
2018,6,24,1,5,995,2,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,3,0,2,0,2,0,0,1,11,2,5.5,1,1,0.45,0.3,18,0,0.0,19,1,0,0.002,1,1,6.9037,1.0986,497.5,0,0,0,7,2,0,1
2018,6,23,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12.0,1,1,0.9,0.9,165,0,0.0,61,17,1,0.0,0,0,0.0,0.0,0.0,0,0,0,3,2,0,0
